Zeitstempel;Abgas;VW_Kessel;VW_SP_oben;VW_SP_unten;VW_Garage;VW_Brauchwasser;VW_Vorlauf;VW_Rücklauf;VW_Wohnung;VW_Verteiler;VW_AT;VW_Büro
23.02.2020 15:31:37;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.1;21.1;14.2;20.3
23.02.2020 15:31:39;23.9;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:31:41;24.0;33.1;26.0;25.7;11.0;43.1;27.4;26.0;21.2;21.1;14.2;20.3
23.02.2020 15:31:43;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.2;21.1;14.2;20.3
23.02.2020 15:31:45;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:31:48;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:31:50;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:31:52;24.0;33.0;26.1;25.7;11.0;43.1;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:31:54;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:31:56;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:31:59;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:01;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:03;24.0;33.0;26.0;25.7;11.0;43.1;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:05;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:32:07;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.4
23.02.2020 15:32:09;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.4
23.02.2020 15:32:12;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.4
23.02.2020 15:32:14;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.1;14.2;20.4
23.02.2020 15:32:16;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.1;14.2;20.4
23.02.2020 15:32:18;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:20;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:22;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.1;14.2;20.3
23.02.2020 15:32:25;24.0;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.1;14.2;20.3
23.02.2020 15:32:27;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:29;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.1;21.0;14.2;20.3
23.02.2020 15:32:31;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:32:33;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:32:36;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:32:38;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.3
23.02.2020 15:32:40;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.0;14.2;20.4
23.02.2020 15:32:42;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.1;14.2;20.4
23.02.2020 15:33:27;23.9;33.0;26.0;25.7;11.0;43.0;27.4;26.0;21.2;21.1;14.1;20.3
23.02.2020 15:35:53;24.0;33.0;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.3
23.02.2020 15:35:55;24.0;33.0;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.3
23.02.2020 15:35:57;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:35:59;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:01;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:03;24.0;33.0;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:05;24.0;33.0;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:08;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:10;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:12;24.0;33.0;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.4
23.02.2020 15:36:14;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:16;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.4
23.02.2020 15:36:18;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.4
23.02.2020 15:36:20;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.1;21.0;14.1;20.4
23.02.2020 15:36:23;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:25;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:27;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:29;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:31;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:33;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:35;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:37;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:40;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:42;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:44;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:46;23.8;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:48;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:36:50;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:52;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:55;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:36:57;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:36:59;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:37:01;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:37:03;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:37:05;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:37:08;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:10;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:12;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:14;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:16;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:18;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:20;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:23;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:25;23.9;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:27;24.0;32.9;25.9;25.6;11.0;42.8;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:29;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:31;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:33;24.0;32.9;25.9;25.6;10.9;42.8;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:35;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:38;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:40;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:42;24.0;32.9;25.9;25.6;11.0;42.8;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:44;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.1;14.2;20.3
23.02.2020 15:37:46;24.0;32.9;25.9;25.6;11.0;42.9;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:48;24.0;32.9;25.8;25.6;11.0;42.8;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:51;24.0;32.9;25.9;25.6;11.0;42.8;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:53;24.0;32.9;25.9;25.6;11.0;42.8;27.3;25.9;21.2;21.2;14.2;20.3
23.02.2020 15:37:55;24.0;32.9;25.9;25.6;11.0;42.8;27.3;25.9;21.2;21.2;14.2;20.4
23.02.2020 15:39:40;24.0;32.9;25.8;25.6;11.0;42.8;27.2;25.9;21.2;21.1;14.1;20.7
23.02.2020 15:39:46;24.0;32.9;25.9;25.6;11.0;42.8;27.2;25.9;21.2;21.1;14.1;20.6
23.02.2020 15:39:52;24.0;32.9;25.8;25.5;11.0;42.8;27.2;25.9;21.2;21.1;14.1;20.5
23.02.2020 15:39:58;24.0;32.8;25.8;25.5;11.0;42.8;27.2;25.9;21.2;21.0;14.1;20.5
23.02.2020 15:40:32;24.0;32.9;25.8;25.5;11.0;42.8;27.2;25.9;21.2;21.0;14.1;20.4
23.02.2020 15:40:38;24.0;32.8;25.8;25.5;11.0;42.8;27.2;25.9;21.2;20.9;14.2;20.4
23.02.2020 15:40:44;24.0;32.9;25.8;25.5;11.0;42.8;27.2;25.9;21.2;20.9;14.2;20.3
23.02.2020 15:40:50;24.1;32.8;25.8;25.5;11.0;42.7;27.2;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:40:56;24.1;32.8;25.8;25.5;11.0;42.7;27.2;25.9;21.2;21.0;14.2;20.3
23.02.2020 15:41:26;24.1;32.8;25.8;25.5;11.0;42.7;27.2;25.9;21.2;21.0;14.1;20.3
23.02.2020 15:41:32;24.1;32.8;25.8;25.5;11.0;42.7;27.2;25.9;21.2;21.1;14.1;20.4
23.02.2020 15:41:38;24.1;32.8;25.8;25.5;11.0;42.7;27.2;25.9;21.2;21.1;14.1;20.4
23.02.2020 15:46:06;23.8;32.7;25.7;25.4;11.0;42.5;27.1;25.7;21.2;21.1;14.1;20.3
23.02.2020 15:46:13;23.8;32.7;25.7;25.4;11.0;42.5;27.0;25.7;21.1;20.9;14.0;19.8
23.02.2020 15:46:55;23.8;32.6;25.7;25.4;11.0;42.5;27.1;25.7;21.2;21.0;14.1;18.6
23.02.2020 15:47:01;23.8;32.6;25.7;25.4;11.0;42.4;27.1;25.7;21.2;21.0;14.1;18.6
23.02.2020 15:47:07;23.8;32.6;25.7;25.4;10.9;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:47:13;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:47:19;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:47:26;23.8;32.6;25.7;25.4;10.9;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:47:32;23.9;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;20.9;14.0;18.5
23.02.2020 15:47:38;23.8;32.6;25.7;25.4;10.9;42.4;27.0;25.7;21.1;20.9;14.0;18.4
23.02.2020 15:47:44;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.4
23.02.2020 15:47:50;23.8;32.6;25.6;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.4
23.02.2020 15:47:56;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:03;23.8;32.6;25.6;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:09;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:15;23.8;32.6;25.7;25.4;10.9;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:21;23.9;32.6;25.6;25.4;10.9;42.3;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:27;23.8;32.6;25.6;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:33;23.8;32.6;25.7;25.4;11.0;42.4;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:39;23.8;32.6;25.6;25.4;10.9;42.3;27.0;25.7;21.1;21.0;14.0;18.5
23.02.2020 15:48:45;23.8;32.6;25.6;25.4;10.9;42.3;27.0;25.7;21.1;21.0;14.0;18.6
23.02.2020 15:48:51;23.8;32.6;25.6;25.4;10.9;42.3;27.0;25.6;21.1;21.1;14.0;18.7
23.02.2020 15:48:58;23.9;32.6;25.6;25.4;10.9;42.3;27.0;25.7;21.1;21.0;14.0;18.6
23.02.2020 15:52:25;23.7;32.5;25.6;25.3;11.0;42.2;27.0;25.6;21.1;21.1;13.9;18.7
23.02.2020 15:52:31;23.7;32.5;25.6;25.4;10.9;42.1;26.9;25.6;21.1;21.0;13.9;18.7
23.02.2020 15:52:36;23.7;32.5;25.6;25.4;11.0;42.2;27.0;25.6;21.1;21.0;13.9;18.8
23.02.2020 15:53:36;23.8;32.5;25.5;25.3;11.0;42.1;26.9;25.6;21.1;21.0;14.0;18.8
23.02.2020 15:53:41;23.7;32.5;25.6;25.3;11.0;42.1;26.9;25.6;21.1;21.0;13.9;18.8
23.02.2020 15:53:46;23.7;32.5;25.5;25.3;10.9;42.1;26.9;25.6;21.1;21.0;14.0;18.7
23.02.2020 15:53:56;23.7;32.5;25.5;25.3;10.9;42.1;26.9;25.6;21.1;20.9;13.9;18.7
23.02.2020 15:54:03;23.6;32.5;25.5;25.3;10.9;42.1;26.9;25.6;21.1;20.9;13.9;18.7
23.02.2020 15:55:17;23.6;32.4;25.5;25.3;10.9;42.0;26.8;25.5;21.1;20.8;13.9;18.8
23.02.2020 15:55:23;23.6;32.4;25.5;25.3;10.9;42.0;26.8;25.5;21.1;20.9;13.9;18.9
23.02.2020 15:55:29;23.6;32.4;25.5;25.3;10.9;42.0;26.8;25.5;21.2;20.9;13.9;18.8
23.02.2020 15:55:35;23.5;32.4;25.5;25.2;10.9;42.0;26.8;25.5;21.2;20.9;13.9;18.8
23.02.2020 15:55:41;23.6;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;20.8;13.9;18.8
23.02.2020 15:56:06;23.6;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;20.8;13.9;18.7
23.02.2020 15:56:13;23.6;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.8
23.02.2020 15:56:19;23.7;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.9
23.02.2020 15:56:25;23.7;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.9
23.02.2020 15:56:31;23.7;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.8
23.02.2020 15:56:38;23.7;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.8
23.02.2020 15:57:31;23.8;32.4;25.5;25.3;10.9;41.9;26.8;25.5;21.1;21.0;13.9;18.8
23.02.2020 15:57:38;23.8;32.4;25.5;25.3;10.9;41.8;26.8;25.5;21.1;21.0;13.9;18.7
23.02.2020 15:57:44;23.8;32.4;25.5;25.2;10.9;41.8;26.8;25.5;21.1;21.0;13.9;18.8
23.02.2020 15:57:50;23.8;32.4;25.5;25.2;10.9;41.8;26.7;25.5;21.1;21.0;13.9;18.7
23.02.2020 15:57:56;23.7;32.4;25.4;25.2;10.9;41.8;26.7;25.5;21.1;21.0;13.9;18.7
23.02.2020 15:58:03;23.8;32.4;25.4;25.2;10.9;41.8;26.7;25.5;21.1;21.0;13.9;18.6
23.02.2020 15:58:18;23.8;32.3;25.4;25.2;10.9;41.8;26.7;25.5;21.1;21.0;13.9;18.7
23.02.2020 15:59:28;23.7;32.3;25.4;25.2;10.9;41.8;26.8;25.5;21.1;21.0;13.8;18.8
23.02.2020 15:59:34;23.7;32.3;25.4;25.2;10.9;41.8;26.8;25.5;21.1;20.9;13.8;18.9
23.02.2020 15:59:40;23.7;32.3;25.4;25.2;10.9;41.8;26.7;25.5;21.1;20.9;13.8;18.8
23.02.2020 16:00:06;23.5;32.3;25.4;25.2;10.9;41.7;26.7;25.5;21.1;20.9;13.8;18.8
23.02.2020 16:00:13;23.5;32.3;25.4;25.2;10.9;41.7;26.7;25.4;21.1;20.8;13.8;18.8
23.02.2020 16:00:51;23.5;32.3;25.4;25.1;11.0;41.8;26.8;25.5;21.1;20.8;13.7;18.9
23.02.2020 16:00:57;23.5;32.3;25.4;25.1;10.9;41.7;26.7;25.5;21.1;20.8;13.7;19.0
23.02.2020 16:01:20;23.4;32.2;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;18.9
23.02.2020 16:01:26;23.4;32.3;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.9;13.7;19.0
23.02.2020 16:01:33;23.3;32.3;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.9;13.7;19.0
23.02.2020 16:01:39;23.3;32.3;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.9;13.7;19.0
23.02.2020 16:01:45;23.4;32.3;25.4;25.1;11.0;41.7;26.7;25.4;21.1;20.8;13.8;18.9
23.02.2020 16:01:51;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:01:57;23.3;32.2;25.3;25.1;11.0;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:04;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;18.9
23.02.2020 16:02:10;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;18.9
23.02.2020 16:02:16;23.4;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:23;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:29;23.4;32.3;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:35;23.3;32.3;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:41;23.3;32.2;25.4;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:48;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
23.02.2020 16:02:54;23.3;32.2;25.3;25.1;10.9;41.7;26.7;25.4;21.1;20.8;13.7;19.0
